player,elo_hard,elo_clay,elo_grass,elo
Medvedev D. ,1453.4695015289756,1500.0,1500.0,1484.4898338429919
Portas A.,1375.1203880203993,1479.147462689668,1409.027452697577,1421.098434469215
Friedl L.,1482.5948692489976,1519.2921497495324,1500.0,1500.6290063328433
Santoro F.,1543.0219614121918,1397.6137975117806,1640.6780973931718,1527.1046187723814
Giraldo S.,1459.9288624778465,1504.1016088509948,1494.6241743280113,1486.218215218951
Gunneswaran P.,1405.401187263053,1485.4555233125154,1477.9909072372113,1456.2825392709265
Elsner D.,1461.0950257276236,1410.188022482726,1483.2932156005686,1451.525421270306
Breen M.,1484.0,1500.0,1500.0,1494.6666666666667
Clement A.,1515.5447952604416,1474.0337413497366,1523.9598020261933,1504.5127795454573
Cerundolo J.M.,1561.4502922460138,1560.0746959524358,1486.613261587005,1536.0460832618182
Dubrivnyy A.,1487.0233892512597,1500.0,1500.0,1495.6744630837532
Pescariu D.,1500.0,1486.8610175947153,1500.0,1495.6203391982383
Ratiwatana S.,1484.3897889736472,1500.0,1500.0,1494.796596324549
Leshem E.,1497.4233063120596,1500.0,1500.0,1499.1411021040196
Granollers-Pujol M.,1500.0,1482.3773755396212,1500.0,1494.1257918465406
Roux L.,1467.2107243299602,1500.0,1500.0,1489.07024144332
Heuberger I.,1411.2612048697022,1415.1236182822518,1459.8293018336226,1428.738041661859
Monfils G.,1747.2170850785978,1548.968574343492,1573.001362025063,1623.0623404823843
Nedelko I.,1468.6215338111954,1500.0,1500.0,1489.5405112703984
Brouwer G.,1528.8956620577628,1515.8328718804025,1500.9714688685458,1515.2333342689035
Hurkacz H.,1756.158111532116,1720.5121684642208,1658.9383928570176,1711.869557617785
Fritz T.,1819.1736674208614,1689.178908010462,1772.1178713980933,1760.1568156098056
Stepanek M.,1500.0,1509.6524824942496,1500.0,1503.21749416475
Shimizu Y.,1482.2881532951915,1500.0,1500.0,1494.096051098397
De Voest R.,1420.9349573284783,1500.0,1453.8883622012067,1458.2744398432285
Cassone M.,1491.7819987613418,1500.0,1500.0,1497.2606662537808
Peppas S.,1500.0,1489.1112366778582,1500.0,1496.3704122259526
Kovacevic A.,1540.2826596913085,1414.3904382522671,1476.115594780771,1476.929564241449
Uchiyama Y.,1501.2422655181892,1478.7246000634632,1454.0107783125852,1477.9925479647457
Ouahabi T.,1500.0,1484.5522256283368,1500.0,1494.8507418761121
Stoppini A.,1501.6289458815431,1476.2862210843352,1500.0,1492.6383889886263
Braga P.,1500.0,1487.693696344574,1500.0,1495.8978987815246
Hernandez-Fernandez J.,1500.0,1487.3448425655845,1500.0,1495.781614188528
Smit J.,1480.9692416490807,1500.0,1500.0,1493.656413883027
Rodriguez M.,1500.0,1458.047479934723,1500.0,1486.0158266449077
Snobel P.,1461.0595492409336,1500.0,1487.2287596945318,1482.7627696451552
Eitzinger R.,1490.1562030098344,1491.2886414731558,1500.0,1493.814948160997
Ascione T.,1402.8367862006962,1417.1182539051192,1448.7027810211525,1422.885940375656
Buchanan C.,1484.87697819196,1500.0,1500.0,1494.9589927306533
Ginepri R.,1502.0143832786205,1532.0231527383767,1474.4164116534828,1502.8179825568268
Otte O.,1471.4198350445695,1509.0512135548843,1537.2249289720705,1505.898659190508
Garcia-Lopez G. ,1516.0,1500.0,1500.0,1505.3333333333333
Zhang Z.,1470.4112102616132,1500.0,1501.8699959926719,1490.7604020847618
Ebden M.,1546.8543784696321,1360.6344347088523,1495.590910884425,1467.6932413543034
Struvay E.,1500.0,1471.5611635818839,1500.0,1490.520387860628
Svarc L.,1484.2128727793076,1485.395356394249,1500.0,1489.8694097245188
Vardhan V.,1473.5383683343794,1500.0,1500.0,1491.1794561114596
Riedi L.,1488.4313926939005,1487.1250084931733,1484.0,1486.5188003956912
Tipsarevic J. ,1500.0,1500.0,1500.0,1500.0
Svrcina D.,1502.3541585564903,1483.0835157292602,1500.0,1495.1458914285834
Edmund K.,1596.279597023086,1539.429870678138,1498.5417501877973,1544.750405963007
Kravchuk K.,1354.7082909237279,1517.7155299929798,1456.1340984278188,1442.8526397815087
Svajda T.,1481.1727506072884,1500.0,1500.0,1493.7242502024294
Thompson C.,1500.0,1500.0,1483.7731538268422,1494.5910512756138
Skoch D.,1487.1909938657109,1474.899206227385,1500.0,1487.3634000310321
Rosenholm P.,1506.7047503014492,1500.0,1500.0,1502.2349167671498
Berankis R.,1573.8912501737168,1421.3825612083845,1395.1214388486967,1463.465083410266
Coric B.,1495.1822645575573,1587.465725441788,1527.0180215996065,1536.555337199651
Kypson P.,1497.953004779094,1468.4006292909928,1500.0,1488.784544690029
Naso G.,1500.0,1414.5683424790238,1500.0,1471.5227808263414
Lojda D.,1487.3424902315487,1500.0,1500.0,1495.780830077183
Van D. Merwe I.,1481.4107331057264,1500.0,1500.0,1493.8035777019088
Watanuki Y.,1593.9155307146946,1518.6613372795568,1514.7001751962348,1542.4256810634954
Norman D.,1426.0959626812366,1403.3827450263143,1472.9265217838636,1434.1350764971382
Vacek J.,1340.6658874057866,1434.4063675943912,1527.673934334532,1434.2487297782366
Bahrouzyan O.,1424.6707273938173,1500.0,1500.0,1474.8902424646058
Koll H.,1483.3195222385452,1500.0,1500.0,1494.439840746182
Sousa J.,1488.9528489977333,1472.5466838203947,1444.9192082240959,1468.8062470140746
